id,type,subpanel,budget,duration,coinvestigators
2011/01/B/ST1/01406,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"ST1   - Nauki matematyczne: wszystkie dziedziny matematyki, teoretyczne oraz stosowane a także podstawy matematyczne informatyki, fizyka matematyczna i statystyka matematyczna, m.in.:",Przyznana kwota: 113 200 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 1
2011/01/B/NZ5/00345,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ5   - Choroby niezakaźne ludzi i zwierząt: przyczyny, mechanizmy, rozpoznawanie i leczenie chorób, zatruć i urazów, m.in.:",Przyznana kwota: 378 373 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 8
2011/01/B/ST5/00847,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"ST5   - Synteza i materiały: otrzymywanie materiałów, związki struktury z właściwościami, nowoczesne materiały o założonych właściwościach, architektura (makro)molekularna, chemia organiczna, chemia nieorganiczna, m.in.:",Przyznana kwota: 750 000 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 10
2011/01/B/NZ5/00346,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ5   - Choroby niezakaźne ludzi i zwierząt: przyczyny, mechanizmy, rozpoznawanie i leczenie chorób, zatruć i urazów, m.in.:",Przyznana kwota: 470 800 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 8
2011/01/B/NZ5/00354,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ5   - Choroby niezakaźne ludzi i zwierząt: przyczyny, mechanizmy, rozpoznawanie i leczenie chorób, zatruć i urazów, m.in.:",Przyznana kwota: 268 760 PLN,Czas trwania projektu: 30 miesięcy,Liczba wykonawców projektu: 5
2011/01/B/ST5/00843,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"ST5   - Synteza i materiały: otrzymywanie materiałów, związki struktury z właściwościami, nowoczesne materiały o założonych właściwościach, architektura (makro)molekularna, chemia organiczna, chemia nieorganiczna, m.in.:",Przyznana kwota: 806 000 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 8
2011/01/B/NZ5/00934,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ5   - Choroby niezakaźne ludzi i zwierząt: przyczyny, mechanizmy, rozpoznawanie i leczenie chorób, zatruć i urazów, m.in.:",Przyznana kwota: 472 000 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 5
2011/01/B/NZ5/01371,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ5   - Choroby niezakaźne ludzi i zwierząt: przyczyny, mechanizmy, rozpoznawanie i leczenie chorób, zatruć i urazów, m.in.:",Przyznana kwota: 298 600 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 4
2011/01/B/NZ5/00939,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ5   - Choroby niezakaźne ludzi i zwierząt: przyczyny, mechanizmy, rozpoznawanie i leczenie chorób, zatruć i urazów, m.in.:",Przyznana kwota: 500 000 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 8
2011/01/B/NZ5/01348,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ5   - Choroby niezakaźne ludzi i zwierząt: przyczyny, mechanizmy, rozpoznawanie i leczenie chorób, zatruć i urazów, m.in.:",Przyznana kwota: 248 300 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 6
2011/01/B/NZ5/01358,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ5   - Choroby niezakaźne ludzi i zwierząt: przyczyny, mechanizmy, rozpoznawanie i leczenie chorób, zatruć i urazów, m.in.:",Przyznana kwota: 249 200 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 6
2011/01/B/ST7/05155,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"ST7   - Inżynieria systemów i komunikacji: elektronika, komunikacja, optoelektronika, m.in.:",Przyznana kwota: 995 800 PLN,Czas trwania projektu: 27 miesięcy,Liczba wykonawców projektu: 5
2011/01/B/ST10/06470,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"ST10   - Nauki o Ziemi: geografia fizyczna, geologia, geofizyka, meteorologia, oceanologia, klimatologia, ekologia, globalne zmiany środowiska, cykle biogeochemiczne, zarządzanie zasobami naturalnymi, m.in.:",Przyznana kwota: 161 900 PLN,Czas trwania projektu: 24 miesięcy,Liczba wykonawców projektu: 3
2011/01/B/NZ5/02773,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ5   - Choroby niezakaźne ludzi i zwierząt: przyczyny, mechanizmy, rozpoznawanie i leczenie chorób, zatruć i urazów, m.in.:",Przyznana kwota: 746 200 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 8
2011/01/B/ST9/05861,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"ST9   - Astronomia i badania kosmiczne: astrofizyka, astrochemia, astrobiologia, Układ Słoneczny, układy planetarne, astronomia gwiazdowa, galaktyczna i pozagalaktyczna, badania kosmiczne, instrumenty, m.in.:",Przyznana kwota: 525 500 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 5
2011/01/B/NZ5/02795,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ5   - Choroby niezakaźne ludzi i zwierząt: przyczyny, mechanizmy, rozpoznawanie i leczenie chorób, zatruć i urazów, m.in.:",Przyznana kwota: 422 500 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 11
2011/01/B/NZ5/02804,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ5   - Choroby niezakaźne ludzi i zwierząt: przyczyny, mechanizmy, rozpoznawanie i leczenie chorób, zatruć i urazów, m.in.:",Przyznana kwota: 241 800 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 6
2011/01/B/ST10/04767,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"ST10   - Nauki o Ziemi: geografia fizyczna, geologia, geofizyka, meteorologia, oceanologia, klimatologia, ekologia, globalne zmiany środowiska, cykle biogeochemiczne, zarządzanie zasobami naturalnymi, m.in.:",Przyznana kwota: 167 400 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 6
2011/01/B/NZ5/02814,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ5   - Choroby niezakaźne ludzi i zwierząt: przyczyny, mechanizmy, rozpoznawanie i leczenie chorób, zatruć i urazów, m.in.:",Przyznana kwota: 321 250 PLN,Czas trwania projektu: 30 miesięcy,Liczba wykonawców projektu: 7
2011/01/B/ST2/03354,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"ST2   - Podstawowe składniki materii: fizyka cząstek elementarnych, jądrowa, plazmy, atomowa, molekularna, gazów i optyczna, m.in.:",Przyznana kwota: 327 800 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 7
