edycja,panel,zlozone,1_etap,2_etap,finansowanych
11,ST6,46,44,20,14
11,ST7,59,57,30,19
11,ST8,161,153,64,39
11,ST9,16,16,11,7
11,ST10,91,88,43,32
12,HS1,39,37,18,9
12,HS2,72,70,12,6
12,HS3,78,71,41,17
12,HS4,158,152,54,28
12,HS5,107,92,44,23
12,HS6,88,81,35,19
12,NZ1,43,43,20,10
12,NZ2,25,24,12,7
12,NZ3,52,50,23,13
12,NZ4,52,47,19,11
12,NZ5,89,87,33,16
12,NZ6,47,47,23,12
12,NZ7,99,98,39,20
12,NZ8,65,64,25,16
12,NZ9,103,99,36,24
12,ST1,33,33,18,9
12,ST2,42,39,26,14
12,ST3,48,47,26,15
12,ST4,67,65,31,19
12,ST5,126,125,49,27
12,ST6,34,34,15,9
12,ST7,49,48,25,15
12,ST8,169,163,74,39
12,ST9,18,17,12,7
12,ST10,83,82,41,24
13,HS1,49,47,18,14
13,HS2,96,95,16,9
13,HS3,88,83,47,30
13,HS4,159,148,68,44
13,HS5,114,86,18,14
13,HS6,90,85,34,21
13,NZ1,38,38,20,9
13,NZ2,26,25,14,8
13,NZ3,46,45,23,13
13,NZ4,40,38,19,12
13,NZ5,84,77,35,23
13,NZ6,44,44,24,11
13,NZ7,110,104,45,30
13,NZ8,66,62,35,16
13,NZ9,92,88,48,22
13,ST1,38,35,19,17
13,ST2,32,32,21,11
13,ST3,38,37,20,11
13,ST4,71,68,40,20
13,ST5,121,113,63,29
13,ST6,45,45,23,15
13,ST7,52,50,30,16
13,ST8,179,175,95,46
13,ST9,22,22,16,10
13,ST10,91,88,58,28
14,HS1,48,46,21,13
14,HS2,70,70,13,7
14,HS3,94,92,43,16
14,HS4,155,151,60,27
14,HS5,130,128,49,21
14,HS6,87,86,34,14
14,NZ1,28,28,14,9
14,NZ2,25,24,12,6
14,NZ3,55,53,25,11
14,NZ4,56,55,21,11
14,NZ5,82,79,26,17
14,NZ6,45,44,20,10
14,NZ7,101,98,39,18
14,NZ8,74,73,33,17
14,NZ9,110,108,41,22
14,ST1,41,41,20,9
14,ST2,46,45,28,14
14,ST3,53,53,25,11
14,ST4,71,70,39,19
14,ST5,122,121,47,21
14,ST6,48,48,22,11
14,ST7,65,65,28,14
14,ST8,224,214,89,43
14,ST9,19,19,11,6
14,ST10,119,114,56,27
15,HS1,51,46,21,11
15,HS2,77,72,21,8
15,HS3,72,69,38,24
15,HS4,139,134,53,28
15,HS5,107,100,33,20
15,HS6,103,102,32,18
15,HS1,51,46,21,11
15,HS2,77,72,21,8
15,HS3,72,69,38,24
15,HS4,139,134,53,28
15,HS5,107,100,33,20
15,HS6,103,102,32,18
15,NZ1,44,42,21,11
15,NZ2,23,22,12,7
15,NZ3,54,54,24,13
15,NZ4,54,52,18,8
15,NZ5,100,95,32,17
15,NZ6,37,36,16,8
15,NZ7,107,103,39,19
15,NZ8,47,46,21,10
15,NZ9,130,121,45,22
15,ST1,46,45,23,11
15,ST2,34,34,17,9
15,ST3,30,30,15,6
15,ST4,60,60,28,14
15,ST5,111,108,39,18
15,ST6,42,41,13,6
15,ST7,48,48,18,9
15,ST8,204,197,75,38
15,ST9,24,24,9,6
15,ST10,94,91,31,18
16,HS1,44,40,9,9
16,HS2,80,80,21,11
16,HS3,82,74,32,21
16,HS4,151,140,47,27
16,HS5,114,105,39,22
16,HS6,80,72,25,13
16,NZ1,50,50,21,10
16,NZ2,27,27,13,6
16,NZ3,48,46,22,11
16,NZ4,57,55,18,10
16,NZ5,69,66,17,13
16,NZ6,51,51,22,11
16,NZ7,111,102,35,17
16,NZ8,66,63,23,12
16,NZ9,122,117,44,22
16,ST1,42,42,19,11
16,ST2,37,35,20,10
16,ST3,50,50,26,12
16,ST4,64,63,29,14
